Germany,English
ich,I
du,you
er,he
sie,she
es,it
wir,we
ihr,her
sein,be
haben,have
werden,become
können,can
müssen,must
wollen,want
sollen,should
dürfen,may
machen,make
sagen,say
gehen,go
kommen,come
sehen,see
geben,give
wissen,knowledge
finden,find
denken,think
nehmen,take
sprechen,speak
arbeiten,work
leben,life
mögen,like
brauchen,need
lernen,learn
lesen,read
schreiben,write
hören,hear
fragen,questions
antworten,answer
helfen,help
fahren,drive
laufen,run
schlafen,sleep
stehen,stand
sitzen,sit
lieben,love
verstehen,understand
vergessen,forget
erinnern,remember
bezahlen,pay
gewinnen,win
verlieren,lose
essen,eat
trinken,drink
kaufen,buy
verkaufen,sell
öffnen,open
schließen,close
beginnen,start
enden,end
bleiben,remain
bringen,bring
Haus,House
Wohnung,Apartment
Zimmer,Room
Tür,door
Fenster,Window
Dach,Roof
Wand,Wall
Boden,Floor
Tisch,Table
Stuhl,Chair
Bett,Bed
Sofa,sofa
Lampe,lamp
Küche,Kitchen
Bad,bath
Garten,Garden
Familie,Family
Mutter,Mother
Vater,Father
Bruder,Brother
Schwester,Sister
Sohn,Son
Tochter,Daughter
Kind,child
Eltern,Parents
Großmutter,grandmother
Großvater,grandfather
Freund,Friend
Freundin,Girlfriend
Nachbar,Neighbor
Mann,Man
Frau,Woman
Junge,Boy
Mädchen,Girl
Mensch,Person
Person,person
Name,name
Alter,Old
Geburtstag,Birthday
Tag,day
Nacht,Night
Morgen,Morning
Mittag,Midday
Abend,Evening
Woche,Week
Monat,Month
Jahr,Year
Zeit,Time
Uhr,Clock
Minute,minute
Sekunde,second
heute,today
morgen,morning
gestern,yesterday
jetzt,now
später,later
früh,early
spät,late
immer,always
nie,never
oft,often
manchmal,sometimes
bald,soon
Wasser,Water
Essen,Eat
Getränk,beverage
Brot,Bread
Milch,Milk
Kaffee,Coffee
Tee,tea
Saft,Juice
Apfel,Apple
Banane,banana
Orange,Orange
Kartoffel,Potato
Gemüse,Vegetables
Obst,Fruit
Fleisch,Meat
Fisch,Fish
Ei,egg
Reis,rice
Suppe,Soup
Salz,Salt
Zucker,Sugar
Hund,Dog
Katze,Cat
Vogel,Bird
Pferd,Horse
Kuh,Cow
Schaf,sheep
Ziege,Goat
Huhn,Chicken
Fisch,Fish
Maus,Mouse
Auto,car
Bus,bus
Zug,Train
Fahrrad,Bicycle
Motorrad,motorcycle
Flugzeug,Airplane
Schiff,Ship
Straße,Street
Weg,Away
Brücke,Bridge
Bahnhof,Railroad station
Flughafen,Airport
Stadt,City
Dorf,Village
Land,country
Schule,School
Universität,university
Klasse,Class
